trade_no,start_date,cusip,type,quantity,rate
3493263,2025-04-29 10:02:11,912797MH7,REP,5000000,4.210000
3493264,2025-04-29 10:02:11,912797QC4,REV,13000000,4.150000
3493265,2025-04-29 10:02:12,91282CMU2,REV,10000000,4.280000
3493276,2025-04-29 10:04:18,912810QZ4,REP,5000000,4.200000
3493277,2025-04-29 10:04:36,912810QZ4,REV,25000000,4.220000
3493279,2025-04-29 10:05:06,912797PK7,REP,8000000,3.600000
3493282,2025-04-29 10:05:24,912797PK7,REV,25000000,3.760000
3493306,2025-04-29 10:08:23,912810SJ8,REV,8000000,4.280000
3493337,2025-04-29 10:10:44,91282CHM6,REV,9000000,4.320000
3493358,2025-04-29 10:11:16,912810QN1,REV,6000000,4.250000
3493363,2025-04-29 10:11:38,912810UE6,REV,50000000,4.300000
3493364,2025-04-29 10:11:38,912810UE6,REV,50000000,4.300000
3493365,2025-04-29 10:11:38,912810UE6,REV,50000000,4.300000
3493366,2025-04-29 10:11:38,912810UE6,REV,50000000,4.300000
3493370,2025-04-29 10:12:04,91282CEP2,REV,6000000,4.300000
3493371,2025-04-29 10:12:04,91282CEP2,REP,5000000,4.280000
3493535,2025-04-29 10:19:28,912810FS2,REP,5000000,4.240000
3493536,2025-04-29 10:19:28,91282CCA7,REP,5000000,4.240000
3493537,2025-04-29 10:19:28,9128286X3,REP,6000000,4.240000
3493538,2025-04-29 10:19:46,912810FS2,REV,25000000,4.260000
3493539,2025-04-29 10:19:46,9128286X3,REV,25000000,4.260000
3493540,2025-04-29 10:19:46,91282CCA7,REV,25000000,4.260000
3493656,2025-04-29 10:30:31,91282CLF6,REV,50000000,4.340000
3493665,2025-04-29 10:35:34,912810QE1,REP,5000000,4.230000
3493667,2025-04-29 10:35:52,912810QE1,REV,25000000,4.250000
